CountryCode,GDP_Decade_Start,GDP_Decade_End,GDP_Growth,Net_Decade_Start,Net_Decade_End,Net_Growth,CO2_Change,Score,Label
AFE,1990s,2010s,1.075,2000s,2010s,4.532,0.091,5.516,crecimiento_bajo_o_mixto
AFW,1990s,2010s,1.405,2000s,2010s,3.379,0.258,4.527,crecimiento_bajo_o_mixto
ALB,1990s,2010s,5.940,1990s,2010s,1446.349,-0.460,1452.290,verde_digital
ARE,1990s,2010s,0.746,1990s,2010s,19.953,0.097,20.601,crecimiento_bajo_o_mixto
AUT,1990s,2010s,0.873,1990s,2010s,12.875,0.197,13.551,crecimiento_bajo_o_mixto
BDI,1990s,2010s,0.403,1990s,2010s,451.812,1.116,451.100,crecimiento_bajo_o_mixto
BEN,1990s,2010s,2.007,1990s,2010s,254.354,2.880,253.481,digital_con_mas_emisiones
BFA,1990s,2010s,1.618,1990s,2010s,250.419,1.892,250.145,digital_con_mas_emisiones
BGR,1990s,2010s,4.529,1990s,2010s,66.809,-0.611,71.338,verde_digital
BMU,1990s,2010s,1.786,1990s,2010s,3.721,NA,5.508,digital_sin_datos_co2
BRA,1990s,2010s,1.876,1990s,2010s,119.108,0.179,120.806,digital_con_mas_emisiones
BTN,1990s,2010s,4.789,1990s,2010s,593.770,0.629,597.929,digital_con_mas_emisiones
CAN,1990s,2010s,1.248,1990s,2010s,8.549,0.040,9.757,verde_digital
COL,1990s,2010s,2.138,1990s,2010s,95.158,-0.255,97.296,verde_digital
CRI,1990s,2010s,2.765,1990s,2010s,53.482,-0.159,56.246,verde_digital
DEU,1990s,2010s,0.708,1990s,2010s,18.154,0.096,18.766,crecimiento_bajo_o_mixto
DMA,1990s,2010s,1.122,1990s,2010s,38.915,1.395,38.642,digital_con_mas_emisiones
ECA,1990s,2010s,3.014,2000s,2010s,2.171,-0.429,5.186,crecimiento_bajo_o_mixto
ECS,1990s,2010s,1.110,2000s,2010s,0.621,-0.037,1.731,crecimiento_bajo_o_mixto
ETH,1990s,2010s,2.549,1990s,2010s,2075.910,0.580,2077.879,digital_con_mas_emisiones
FRO,1990s,2010s,1.745,1990s,2010s,12.169,-0.126,13.913,verde_digital
GBR,1990s,2010s,0.859,1990s,2010s,16.906,-0.167,17.765,crecimiento_bajo_o_mixto
GEO,1990s,2010s,4.226,1990s,2010s,480.389,-0.587,484.615,verde_digital
GIN,1990s,2010s,0.199,1990s,2010s,1088.245,1.093,1087.351,crecimiento_bajo_o_mixto
HRV,1990s,2010s,2.211,1990s,2010s,48.184,-0.123,50.394,verde_digital
IBD,1990s,2010s,3.679,2000s,2010s,1.876,-0.148,5.555,crecimiento_bajo_o_mixto
IDB,1990s,2010s,1.681,2000s,2010s,2.011,-0.397,3.693,crecimiento_bajo_o_mixto
IDN,1990s,2010s,3.581,1990s,2010s,188.375,-0.165,191.956,verde_digital
IND,1990s,2010s,3.519,1990s,2010s,288.649,0.093,292.075,verde_digital
IRL,1990s,2010s,2.444,1990s,2010s,28.806,-0.344,31.250,verde_digital
ITA,1990s,2010s,0.596,1990s,2010s,25.358,0.139,25.815,crecimiento_bajo_o_mixto
JAM,1990s,2010s,1.050,1990s,2010s,56.789,-0.171,57.839,verde_digital
KEN,1990s,2010s,3.085,1990s,2010s,428.786,-0.164,431.871,verde_digital
KWT,1990s,2010s,1.628,1990s,2010s,58.050,0.250,59.429,digital_con_mas_emisiones
LBY,1990s,2010s,0.573,1990s,2010s,409.536,0.086,410.023,crecimiento_bajo_o_mixto
LIC,1990s,2010s,0.996,2000s,2010s,3.206,0.254,3.947,crecimiento_bajo_o_mixto
LKA,1990s,2010s,4.511,1990s,2010s,194.148,0.076,198.582,verde_digital
LUX,1990s,2010s,1.598,1990s,2010s,18.297,-0.125,19.895,verde_digital
MDA,1990s,2010s,3.676,1990s,2010s,393.277,-0.688,396.953,verde_digital
MDG,1990s,2010s,0.669,1990s,2010s,101.654,0.891,101.432,crecimiento_bajo_o_mixto
MDV,1990s,2010s,4.968,1990s,2010s,243.740,0.348,248.361,digital_con_mas_emisiones
MEX,1990s,2010s,1.029,1990s,2010s,122.321,0.220,123.130,digital_con_mas_emisiones
MHL,1990s,2010s,0.942,1990s,2010s,215.152,1.114,214.979,crecimiento_bajo_o_mixto
MLT,1990s,2010s,2.073,1990s,2010s,22.287,-0.407,24.361,verde_digital
MOZ,1990s,2010s,1.213,1990s,2010s,418.178,1.788,417.603,digital_con_mas_emisiones
MRT,1990s,2010s,0.963,1990s,2010s,367.263,0.917,367.309,crecimiento_bajo_o_mixto
MWI,1990s,2010s,1.106,1990s,2010s,243.066,-0.149,244.172,verde_digital
MYS,1990s,2010s,1.817,1990s,2010s,27.702,0.380,29.140,digital_con_mas_emisiones
NAC,1990s,2010s,1.014,2000s,2010s,0.122,-0.080,1.137,crecimiento_bajo_o_mixto
NLD,1990s,2010s,1.007,1990s,2010s,8.294,0.030,9.271,verde_digital
NPL,1990s,2010s,3.764,1990s,2010s,837.141,0.948,839.956,digital_con_mas_emisiones
OMN,1990s,2010s,1.791,1990s,2010s,91.984,0.526,93.249,digital_con_mas_emisiones
PER,1990s,2010s,2.459,1990s,2010s,82.961,0.137,85.283,digital_con_mas_emisiones
PHL,1990s,2010s,1.765,1990s,2010s,93.806,0.040,95.531,verde_digital
PRT,1990s,2010s,1.032,1990s,2010s,17.861,0.113,18.779,digital_con_mas_emisiones
ROU,1990s,2010s,6.009,1990s,2010s,79.401,-0.760,85.411,verde_digital
RWA,1990s,2010s,2.010,1990s,2010s,842.601,-0.096,844.611,verde_digital
SAS,1990s,2010s,3.536,2000s,2010s,4.091,0.117,7.510,crecimiento_bajo_o_mixto
SGP,1990s,2010s,1.856,1990s,2010s,10.391,-0.298,12.247,verde_digital
SLB,1990s,2010s,1.074,1990s,2010s,47.941,0.195,48.820,digital_con_mas_emisiones
SLE,1990s,2010s,3.790,1990s,2010s,950.706,0.381,954.115,digital_con_mas_emisiones
SRB,1990s,2010s,1.348,2000s,2010s,1.013,-0.106,2.361,crecimiento_bajo_o_mixto
SSA,1990s,2010s,1.192,2000s,2010s,3.650,-0.055,4.842,crecimiento_bajo_o_mixto
TCD,1990s,2010s,3.653,1990s,2010s,1048.942,0.551,1052.044,digital_con_mas_emisiones
TGO,1990s,2010s,0.714,1990s,2010s,93.935,0.327,94.322,crecimiento_bajo_o_mixto
TLA,1990s,2010s,1.545,2000s,2010s,1.265,0.116,2.694,crecimiento_bajo_o_mixto
VCT,1990s,2010s,1.725,1990s,2010s,46.299,0.647,47.377,digital_con_mas_emisiones
VUT,1990s,2010s,1.163,1990s,2010s,110.716,0.300,111.579,digital_con_mas_emisiones
WLD,1990s,2010s,1.129,2000s,2010s,1.037,0.305,1.861,crecimiento_bajo_o_mixto
ZAF,1990s,2010s,1.016,1990s,2010s,47.129,0.516,47.629,digital_con_mas_emisiones
ZWE,1990s,2010s,1.363,1990s,2010s,439.771,-0.495,441.133,verde_digital
AND,1990s,2010s,1.265,1990s,2010s,21.718,NA,22.983,digital_sin_datos_co2
ATG,1990s,2010s,0.744,1990s,2010s,21.021,0.927,20.838,crecimiento_bajo_o_mixto
BEL,1990s,2010s,0.867,1990s,2010s,25.945,-0.068,26.812,crecimiento_bajo_o_mixto
BGD,1990s,2010s,3.380,1990s,2010s,1577.187,0.963,1579.604,digital_con_mas_emisiones
BHR,1990s,2010s,1.228,1990s,2010s,48.889,-0.072,50.117,verde_digital
BIH,1990s,2010s,4.361,1990s,2010s,683.483,0.154,687.690,digital_con_mas_emisiones
BLZ,1990s,2010s,0.544,1990s,2010s,29.824,0.238,30.130,crecimiento_bajo_o_mixto
BRB,1990s,2010s,1.191,1990s,2010s,76.490,0.430,77.251,digital_con_mas_emisiones
BRN,1990s,2010s,0.520,1990s,2010s,18.951,0.190,19.281,crecimiento_bajo_o_mixto
CAF,1990s,2010s,0.261,1990s,2010s,192.419,0.290,192.389,crecimiento_bajo_o_mixto
CHE,1990s,2010s,0.988,1990s,2010s,8.751,-0.108,9.739,crecimiento_bajo_o_mixto
CHN,1990s,2010s,13.046,1990s,2010s,437.290,-0.505,450.336,verde_digital
CIV,1990s,2010s,1.021,1990s,2010s,682.599,0.364,683.256,digital_con_mas_emisiones
CMR,1990s,2010s,0.654,1990s,2010s,517.917,0.229,518.343,crecimiento_bajo_o_mixto
COD,1990s,2010s,1.575,1990s,2010s,21171.962,-0.520,21173.537,verde_digital
COG,1990s,2010s,2.141,1990s,2010s,1624.137,-0.372,1626.278,verde_digital
COM,1990s,2010s,0.796,1990s,2010s,198.538,1.457,197.877,crecimiento_bajo_o_mixto
CZE,1990s,2010s,3.178,1990s,2010s,31.157,-0.530,34.335,verde_digital
DZA,1990s,2010s,1.915,1990s,2010s,1070.793,0.276,1072.432,digital_con_mas_emisiones
EAP,1990s,2010s,8.681,2000s,2010s,1.987,-0.328,10.668,crecimiento_bajo_o_mixto
EAS,1990s,2010s,1.802,2000s,2010s,1.320,0.800,2.321,crecimiento_bajo_o_mixto
EGY,1990s,2010s,2.196,1990s,2010s,504.591,0.163,506.624,digital_con_mas_emisiones
ESP,1990s,2010s,0.946,1990s,2010s,46.671,0.077,47.540,crecimiento_bajo_o_mixto
FCS,1990s,2010s,1.462,2000s,2010s,3.233,-0.588,4.695,crecimiento_bajo_o_mixto
FJI,1990s,2010s,1.287,1990s,2010s,187.937,0.719,188.505,digital_con_mas_emisiones
FRA,1990s,2010s,0.688,1990s,2010s,30.250,0.071,30.868,crecimiento_bajo_o_mixto
GAB,1990s,2010s,0.750,1990s,2010s,434.961,-0.255,435.711,crecimiento_bajo_o_mixto
GHA,1990s,2010s,3.947,1990s,2010s,886.932,0.149,890.729,digital_con_mas_emisiones
GMB,1990s,2010s,0.163,1990s,2010s,114.580,1.534,113.210,crecimiento_bajo_o_mixto
GRC,1990s,2010s,0.779,1990s,2010s,42.468,0.304,42.943,crecimiento_bajo_o_mixto
GRL,1990s,2010s,1.548,1990s,2010s,9.044,93.040,-82.448,digital_con_mas_emisiones
GTM,1990s,2010s,1.871,1990s,2010s,145.564,0.379,147.056,digital_con_mas_emisiones
HTI,1990s,2010s,2.455,1990s,2010s,723.626,0.520,725.560,digital_con_mas_emisiones
HUN,1990s,2010s,2.469,1990s,2010s,52.128,-0.455,54.597,verde_digital
IBT,1990s,2010s,3.326,2000s,2010s,1.935,-0.150,5.262,crecimiento_bajo_o_mixto
IDX,1990s,2010s,2.026,2000s,2010s,5.021,0.318,6.729,digital_con_mas_emisiones
ISL,1990s,2010s,1.103,1990s,2010s,5.833,-0.148,6.936,verde_digital
