CountryName,CountryCode,IndicatorCode,Year,Value
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1990,822.7938675452301
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1991,864.5638652509139
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1992,733.2438556340551
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1993,709.659254937363
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1994,701.041551520198
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1995,766.8205908367589
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1996,747.0696739165732
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1997,767.684192170293
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1998,697.3526716110129
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,1999,670.6978291879745
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2000,707.1203776740783
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2001,626.1691497539344
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2002,625.9988161663439
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2003,809.9681404980289
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2004,981.7446315745834
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2005,1115.7139565764696
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2006,1220.002469134081
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2007,1362.3106516441571
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2008,1421.1186128188465
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2009,1386.590249709694
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2010,1601.7276505470395
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2011,1735.5849233125323
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2012,1702.9691001504038
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2013,1673.2211018648682
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2014,1656.1677091572574
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2015,1479.6152598054327
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2016,1329.8072847923356
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2017,1520.2122307613238
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2018,1538.9016791728384
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2019,1493.8179382999217
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,2020,1344.1032099929394
Africa Western and Central,AFW,NY.GDP.PCAP.CD,1990,590.3214349890552
